id,surah_id,content,translate_en,translate_id,number,juz
1,1,"﻿بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ","In the name of God, The Most Gracious, The Dispenser of Grace:","Dengan menyebut nama Allah Yang Maha Pemurah lagi Maha Penyayang.",1,1
2,1,"ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَٰلَمِينَ","All praise is due to God alone, the Sustainer of all the worlds,","Segala puji bagi Allah, Tuhan semesta alam.",2,1
3,1,"ٱلرَّحْمَٰنِ ٱلرَّحِيمِ","The Most Gracious, the Dispenser of Grace,","Maha Pemurah lagi Maha Penyayang.",3,1
4,1,"مَٰلِكِ يَوْمِ ٱلدِّينِ","Lord of the Day of Judgment!","Yang menguasai di Hari Pembalasan.",4,1
5,1,"إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ","Thee alone do we worship; and unto Thee alone do we turn for aid.","Hanya Engkaulah yang kami sembah, dan hanya kepada Engkaulah kami meminta pertolongan.",5,1
6,1,"ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ","Guide us the straight way.","Tunjukilah kami jalan yang lurus,",6,1
7,1,"صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ","The way of those upon whom Thou hast bestowed Thy blessings, not of those who have been condemned [by Thee], nor of those who go astray!","(yaitu) Jalan orang-orang yang telah Engkau beri nikmat kepada mereka; bukan (jalan) mereka yang dimurkai dan bukan (pula jalan) mereka yang sesat.",7,1
8,2,"بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ الٓمٓ","Alif. Lam. Mim.","Alif laam miim.",1,1
9,2,"ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًۭى لِّلْمُتَّقِينَ","THIS DIVINE WRIT - let there be no doubt about it is [meant to be] a guidance for all the God-conscious.","Kitab (Al Quran) ini tidak ada keraguan padanya; petunjuk bagi mereka yang bertakwa,",2,1
10,2,"ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَ","Who believe in [the existence of] that which is beyond the reach of human perception, and are constant in prayer, and spend on others out of what We provide for them as sustenance;","(yaitu) mereka yang beriman kepada yang ghaib, yang mendirikan shalat, dan menafkahkan sebahagian rezeki yang Kami anugerahkan kepada mereka.",3,1
